Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.625%,5.470%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15.0,Fixed,4.125%,5.236%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30.0,Fixed,4.625%,4.959%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15.0,Fixed,4.500%,5.081%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.375%,4.484%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.125%,4.302%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.750%,3.916%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.625%,3.971%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.750%,4.744%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.750%,4.643%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,3.875%,4.586%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.125%,4.577%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30.0,Fixed,4.375%,5.189%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
