 B&Bs, apartments, boats, cabins, campgrounds, capsule hotels, cottages, country houses, economy hotels, farm stays, guest houses, homestays, hostels, inns, lodges, love hotels, luxury tents, motels, resort villages, resorts, riads, ryokans, serviced apartments, vacation homes, vacation rentals, villas,CountryName,No of Hotels,Date
"3,462","4,738",12,24,23,9,"2,489",26,64,55,"2,619","3,033","1,542",526,79,,20,99,77,"3,936",,,710,"3,303","11,571","3,303",Thailand,"27,480",06-13-2018
16,70,,,,,,,,,9,10,19,6,,,,,,,,,3,,82,,Tajikistan,159,06-13-2018
4,,,,,,,,,,,,3,,,,,,,6,,,,,8,,East Timor,35,06-13-2018
,,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,6,06-13-2018
101,529,,,3,,95,4,,,48,51,4,,,,,3,3,31,,,22,175,810,175,Tunisia,"1,182",06-13-2018
8,3,,,,,,,,,4,5,,,7,,,,,7,,,,5,17,5,Tonga,58,06-13-2018
988,"3,163",28,24,35,,"1,826",40,5,18,481,732,115,47,34,,13,65,34,414,,,"1,088","2,095","6,578","2,095",Turkey,"15,414",06-13-2018
70,71,,,,,28,,,,42,44,,9,7,,,,,5,,,11,48,181,48,Trinidad and Tobago,267,06-13-2018
"1,970",111,,28,,19,170,63,30,14,256,"3,539",359,460,15,,,297,,88,,,23,85,"5,084",85,Taiwan,"8,283",06-13-2018
405,88,,4,20,,66,7,8,5,146,229,102,31,260,,48,27,3,106,,,12,90,717,90,Tanzania,"1,994",06-13-2018
"1,353","6,926",,40,7,,306,152,23,9,837,916,463,468,184,4,,70,26,119,,,128,537,"8,544",537,Ukraine,"14,140",06-13-2018
154,152,,,12,,13,6,,,88,123,17,4,69,,,21,3,28,,,8,35,393,35,Uganda,"1,031",06-13-2018
"4,807","31,039",28,379,351,,"6,509",104,11,32,485,777,313,"1,849",670,,37,"8,718","1,174","1,881",,,"1,666","48,357","84,373","48,357",United States of America,"159,073",06-13-2018
196,"1,053",,12,5,,87,53,,13,59,114,83,81,87,,,,,11,,,77,816,"2,120",816,Uruguay,"3,555",06-13-2018
90,23,,,,,,,,,37,37,23,20,,,,3,,,,,3,,99,,Uzbekistan,383,06-13-2018
8,12,,,,,5,,,,7,7,,,,,,,,,,,,9,28,9,Saint Vincent & Grenadines,63,06-13-2018
13,41,,,,,,,,,,3,,9,4,,,,,,,,,3,51,3,Venezuela,119,06-13-2018
,,,,,,3,,,,,,,,,,,,,,,,,3,5,3,British Virgin Islands,29,06-13-2018
9,29,,,,,18,,,,4,4,,,,,,,,19,,,5,34,72,34,U.S. Virgin Islands,150,06-13-2018
"1,245","3,099",11,8,5,21,635,43,77,25,908,"2,401",642,47,103,8,4,219,,511,,,283,676,"6,499",676,Vietnam,"15,718",06-13-2018
20,20,,,,,13,,,,13,19,,3,26,,,5,,46,,,4,34,80,34,Vanuatu,190,06-13-2018
11,9,,,,,,,,,3,3,,,3,,,3,,21,,,,7,24,7,Samoa,76,06-13-2018
14,83,,3,,,6,,,,11,12,14,,,,,3,,,,,,6,108,6,Kosovo,231,06-13-2018
4,3,,,,,,,,,,5,,,,,,,,,,,,,10,,Mayotte,19,06-13-2018
"4,972","4,192",5,298,15,,"1,308",211,,310,"3,479","3,627",138,45,"1,012",,62,10,27,151,,,49,"2,207","12,342","2,207",South Africa,"16,528",06-13-2018
58,42,,7,6,,11,,,,39,42,10,4,155,,3,,,,,,,9,128,9,Zambia,425,06-13-2018
82,15,,,,,,,,,48,51,5,,43,,,,,3,,,,18,121,18,Zimbabwe,230,06-13-2018
