Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,4.00%,4.32%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.75%,4.29%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.88%,4.62%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.88%,4.55%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,4.13%,4.55%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.25%,4.58%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30,Fixed,4.38%,5.21%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30,Variable,3.75%,5.12%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.63%,4.97%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,4.13%,4.76%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.38%,4.51%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.13%,4.32%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,3.75%,3.95%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.63%,3.97%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.75%,4.51%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.75%,4.44%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,4.00%,4.44%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.13%,4.44%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30,Fixed,4.38%,5.20%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15,Fixed,3.88%,4.93%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.38%,4.68%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,4.00%,4.49%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 YR FIXEDLoan Details,,Offline,30,Fixed,4.13%,4.25%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 YR FIXEDLoan Details,,Offline,15,Fixed,3.88%,4.04%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 YR ARMLoan Details,,Offline,30,Variable,3.13%,4.42%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 YR ARMLoan Details,,Offline,30,Variable,3.38%,4.35%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 YR ARMLoan Details,,Offline,30,Variable,3.75%,4.34%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30,Fixed,4.38%,5.21%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30,Variable,3.75%,5.12%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 YR FIXED,,Offline,30,Fixed,4.50%,4.78%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,VA 5-1 ARM,,Offline,30,Variable,4.00%,4.55%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Agency 30 Year Fixed,,Offline,30,Fixed,4.60%,4.67%," 2,00,000.00 ",20%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,Agency 15 Year Fixed,,Offline,15,Fixed,3.90%,4.02%," 2,00,000.00 ",20%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Jumbo 30 Year Fixed,,Offline,30,Fixed,4.63%,4.68%," 5,00,000.00 ",25%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 5/1 ARM,,Offline,30,Variable,4.20%,4.62%," 2,00,000.00 ",20%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 7/1 ARM,,Offline,30,Variable,3.99%,4.47%," 2,00,000.00 ",20%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Year Fixed,,Offline,30,Fixed,4.40%,5.49%," 2,00,000.00 ",4%,660,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Year Fixed,,Offline,30,Fixed,4.40%,4.66%," 2,00,000.00 ",0%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Year Fixed,,Offline,15,Fixed,4.50%,4.93%," 2,00,000.00 ",0%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,VA 30 Year 5/1 ARM,,Offline,30,Variable,5.49%,5.05%," 2,00,000.00 ",0%,720,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed Rate,,Offline,30,Fixed,4.63%,4.68%," 2,00,000.00 ",25%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed-Rate VA,,Offline,30,Fixed,4.63%,4.94%," 2,00,000.00 ",0%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,15YMF,15-Year Fixed Rate,,Offline,15,Fixed,4.13%,4.26%," 2,00,000.00 ",25%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.25%,4.58%," 2,00,000.00 ",25%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.13%,4.59%," 2,00,000.00 ",25%,740,New Purchase,Primary Residence,Principal + Interest
