Date,Bank_Native_Country,Zip_code,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Product_Term,Product_Interest,Product_Apy,Mortgage_Loan,Mortgage_Down_Payment,Min_Credit_Score_Mortagage,Mortgage_Apr
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 12 months,0 - 1000000,Online/Mobile,6 Month,0.399%,0.400%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 12 months,,Online/Mobile,12 Month,1.982%,2.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 12 months,,Online/Mobile,36 Month,2.276%,2.300%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 24 months,$0 ,Online/Mobile,,,2.200%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 24 months,0 - 1000000,Online/Mobile,6 Month,0.399%,0.400%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 24 months,,Online/Mobile,12 Month,1.982%,2.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 24 months,,Online/Mobile,36 Month,2.276%,2.300%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 60 months,$0 ,Online/Mobile,,,2.650%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 60 months,0 - 1000000,Online/Mobile,6 Month,0.399%,0.400%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 60 months,,Online/Mobile,12 Month,1.982%,2.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 60 months,,Online/Mobile,36 Month,2.276%,2.300%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,IRA CDs,360 IRA CDs Traditional,$0 ,Online/Mobile,,,0.40 %-2.65 %,,,,
