Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Premiere Money Market Account,50000,99999,offline,,Fixed,0.13%,0.13%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Premiere Money Market Account,100000,249999,offline,,Fixed,0.15%,0.15%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Premiere Money Market Account,250000,499999,offline,,Fixed,0.15%,0.15%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Premiere Money Market Account,500000,999999,offline,,Fixed,0.17%,0.17%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Savings,_MSBF,Premiere Money Market Account,1000000,,offline,,Fixed,0.17%,0.17%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,1,999,offline,6,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,1000,9999,offline,6,Fixed,0.06%,0.06%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,10000,24999,offline,6,Fixed,0.08%,0.08%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,25000,99999,offline,6,Fixed,0.10%,0.10%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,100000,499999,offline,6,Fixed,0.12%,0.12%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,500000,,offline,6,Fixed,0.14%,0.14%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,1,999,offline,12,Fixed,0.04%,0.04%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,1000,9999,offline,12,Fixed,0.15%,0.15%,Bank Website
 2018-04-06,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,10000,24999,offline,12,Fixed,0.18%,0.18%,Bank Website
