Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$50,000.00 - $99,999.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$100,000.00 and above",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Standard Savings,"$1.00 - $2,499.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,Standard Savings,"$2,500.00 and above",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,$1.00 - $499.99,offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,"$500.00 - $1,499.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,"$1,500.00 and above",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,$1.00 - $999.99,offline,6,Fixed,0.04%,0.04%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$1,000.00 - $9,999.99",offline,6,Fixed,0.06%,0.06%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$10,000.00 - $24,999.99",offline,6,Fixed,0.08%,0.08%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$25,000.00 - $99,999.99",offline,6,Fixed,0.10%,0.10%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$100,000.00 - $499,999.99",offline,6,Fixed,0.12%,0.12%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,6MCDF,6 MONTHS,"$500,000.00 and above",offline,6,Fixed,0.14%,0.14%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,$1.00 - $999.99,offline,12,Fixed,0.04%,0.04%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$1,000.00 - $9,999.99",offline,12,Fixed,0.15%,0.15%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$10,000.00 - $24,999.99",offline,12,Fixed,0.18%,0.18%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$25,000.00 - $99,999.99",offline,12,Fixed,0.20%,0.20%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$100,000.00 - $499,999.99",offline,12,Fixed,0.22%,0.22%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,12MCDF,12 MONTHS,"$500,000.00 and above",offline,12,Fixed,0.24%,0.24%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,$1.00 - $999.99,offline,36,Fixed,0.04%,0.04%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$1,000.00 - $9,999.99",offline,36,Fixed,0.30%,0.30%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CD,36MCDF,36 MONTHS,"$10,000.00 - $24,999.99",offline,36,Fixed,0.35%,0.35%
